1,500 Harrison Ave,Office,8 Randolph St,Boston,Suffolk,MA,2118,145000,1889,2014,100,10,,,,,,,,,
4,560 Harrison Ave,Office,100 Union Park St,Boston,Suffolk,MA,2118,196000,1902,2014,100,15.1,,,,,,,,,
8,44 School Street LLC,Office,44 School Street,Boston,Suffolk,MA,2026,58921,1924,2014,100,23.8,,,,,,,,,
9,46 Waltham St,Office,44 Waltham St,Boston,Suffolk,MA,2118,80000,1897,2014,100,28.1,,,,,,,,,
10,239 Causeway Street,Office,239 Causeway Street,Boston,Suffolk,MA,2114,63750,1917,2014,,28.2,,,,,,,,,
2,Commercial Wharf East Condominium,Multifamily Housing,49 Commercial Wharf,Boston,Suffolk,MA,2110,121932,1830,2014,,2.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
